qid,term,series
Q974,Runoff,Q77; Q106
Q975,Salt-water intrusion/encroachment,Q106
Q976,Sampling uncertainty,Q77
Q977,Scenario,Q77; Q106; Q150
Q978,Scenario storyline,Q77; Q150
Q979,Sea ice,Q77; Q106
Q980,Sea ice area,Q77
Q981,Sea ice concentration,Q77
Q982,Sea ice extent,Q77
Q983,Sea level change,Q77; Q106
Q984,Sea level equivalent,Q77
Q985,Sea level rise,Q77
Q986,Sea surface temperature,Q77; Q106; Q150
Q987,Semi-arid zone,Q106
Q988,Semi-empirical model,Q77
Q989,Sendai Framework for Disaster Risk Reduction,Q106
Q990,Sensible heat flux,Q77
Q991,Sensitivity,Q106
Q992,Sequestration,Q77; Q106; Q150
Q993,Sequestration potential,Q77; Q150
Q994,Service provisioning,Q150
Q995,Services,Q150
Q996,Settlements,Q106; Q150
Q997,Shared socio-economic pathways,Q77; Q106; Q150
Q998,Sharing economy.,Q150
Q999,Shelf seas,Q106
Q1000,Shifting development pathways,Q150
Q1001,Shifting development pathways to sustainability,Q150
Q1002,Short-lived climate forcers,Q77; Q150
Q1003,Short-lived climate pollutants,Q77; Q150
Q1004,Significant wave height,Q77
Q1005,Simple climate model,Q77; Q150
Q1006,Sink,Q77; Q106; Q150
Q1007,Small Island Developing States,Q77; Q106; Q150
Q1008,Smart grids,Q150
Q1009,Snow cover,Q77; Q106
Q1010,Snow cover duration,Q77
Q1011,Snow cover extent,Q77
Q1012,Snow water equivalent,Q77; Q106
Q1013,Social cost of carbon,Q150
Q1014,Social costs,Q150
Q1015,Social-ecological system,Q106; Q150
Q1016,Social group,Q150
Q1017,Social identity,Q150
Q1018,Social inclusion,Q106; Q150
Q1019,Social infrastructure,Q106; Q150
Q1020,Social justice,Q106
Q1021,Social learning,Q106; Q150
Q1022,Social protection,Q106
Q1023,Societal transformations,Q106
Q1024,Socio-economic scenario,Q77; Q106; Q150
Q1025,Socio-technical transitions,Q106; Q150
Q1026,Soil carbon sequestration,Q150
Q1027,Soil erosion,Q106
Q1028,Soil moisture,Q77; Q106
Q1029,Soil organic carbon,Q106; Q150
Q1030,Soil organic matter,Q106; Q150
Q1031,Soil temperature,Q77
Q1032,Solar activity,Q77
Q1033,Solar cycle,Q77
Q1034,Solar energy,Q150
Q1035,Solar radiation,Q77
Q1036,Solar radiation modification,Q77; Q106; Q150
Q1037,Solubility pump,Q77
Q1038,Solution space,Q106
Q1039,Source,Q77; Q106; Q150
Q1040,South American monsoon,Q77
Q1041,South Pacific Convergence Zone,Q77
Q1042,South and South East Asian monsoon,Q77
Q1043,Southern Annular Mode,Q77; Q106; Q150
Q1044,Southern Ocean,Q106
Q1045,Spatial and temporal scales,Q106
Q1046,Specific humidity,Q77
Q1047,Spill-over effect,Q150
Q1048,Stadial or stade,Q77
Q1049,Standard,Q106
Q1050,Steric sea level change,Q77
Q1051,Storm surge,Q77; Q106
Q1052,Storm tracks,Q77
Q1053,Storyline,Q77; Q106; Q150
Q1054,Stranded assets,Q106; Q150
Q1055,Stratification,Q77; Q106
Q1056,Stratosphere,Q77
Q1057,Stratosphere–troposphere exchange,Q77
Q1058,Stratospheric aerosol injection,Q77
Q1059,Stratospheric ozone,Q77
Q1060,Stratospheric polar vortex,Q77
Q1061,Stratospheric sounding unit,Q77
Q1062,Streamflow,Q77; Q106
Q1063,Stressors,Q106
Q1064,Subduction,Q77
Q1065,Subnational actors,Q150
Q1066,Sudden stratospheric warming,Q77
Q1067,Sufficiency,Q150
Q1068,Sulphur hexafluoride,Q77
Q1069,Sunspots,Q77
Q1070,Supply-side measures,Q150
Q1071,Surface energy budget,Q77
Q1072,Surface mass balance,Q77
Q1073,Surprises,Q77
Q1074,Sustainability,Q106; Q150
Q1075,Sustainable Development Goals,Q106; Q150
Q1076,Sustainable development,Q106; Q150
Q1077,Sustainable development pathways,Q106
Q1078,Sustainable forest management,Q106; Q150
Q1079,Sustainable intensification,Q150
Q1080,Sustainable land management,Q106; Q150
Q1081,Swash,Q77
Q1082,Sympagic,Q106
Q1083,Systems of Innovation,Q150
Q1084,Talik,Q77
Q1085,Technical potential,Q77; Q150
Q1086,Technology deployment,Q150
Q1087,Technology diffusion,Q150
Q1088,Technology transfer,Q150
Q1089,Teleconnection,Q77; Q106; Q150
Q1090,Teleconnection pattern,Q77
Q1091,Temperature overshoot,Q77; Q106; Q150
Q1092,Terrestrial radiation,Q77
Q1093,Thermocline,Q77
Q1094,Thermokarst,Q77
Q1095,Thermosteric sea level change,Q77
Q1096,Tide gauge,Q77
Q1097,Tier,Q106
Q1098,Time of emergence,Q77
Q1099,Tipping element,Q77; Q106
Q1100,Tipping point,Q77; Q106; Q150
Q1101,Top-of-atmosphere energy budget,Q77
Q1102,Total alkalinity,Q77
Q1103,Total carbon budget,Q77; Q150
Q1104,Total solar irradiance,Q77
Q1105,Total water level,Q77
Q1106,Trace gas,Q77
Q1107,Trade-off,Q106; Q150
Q1108,Traditional biomass,Q150
Q1109,Transformation,Q106; Q150
Q1110,Transformation pathways,Q150
Q1111,Transformational adaptation,Q106; Q150
Q1112,Transformative change,Q106
Q1113,Transient climate response,Q77; Q150
Q1114,Transient climate response to cumulative CO2 emissions,Q77; Q150
Q1115,Transition,Q106; Q150
Q1116,Tree line,Q106
Q1117,Tree rings,Q77
Q1118,Trend estimates uncertainty,Q77
Q1119,Tropical Atlantic Variability,Q77
Q1120,Tropical cyclone,Q77; Q106
Q1121,Tropopause,Q77
Q1122,Troposphere,Q77
Q1123,Tropospheric ozone,Q77
Q1124,Tsunami,Q106
Q1125,Tundra,Q77; Q106
Q1126,Turnover time,Q77
Q1127,Typological regions,Q77
Q1128,Uncertainty,Q77; Q106; Q150
Q1129,United Nations Convention to Combat Desertification,Q150
Q1130,United Nations Framework Convention on Climate Change,Q77; Q106; Q150
Q1131,Uptake,Q77; Q106; Q150
Q1132,Upwelling region,Q77; Q106
Q1133,Urban Systems,Q106; Q150
Q1134,Urban,Q106; Q150
Q1135,Urban and peri-urban agriculture,Q106
Q1136,Urban heat island,Q77; Q150
Q1137,Urbanisation,Q106; Q150
Q1138,Urbanization,Q77
Q1139,Values and beliefs,Q106
Q1140,Variable renewable energy,Q150
Q1141,Vector-borne disease,Q106
Q1142,Ventilation,Q77; Q106
Q1143,Verification,Q150
Q1144,Vertical land motion,Q77
Q1145,Very short-lived halogenated substances,Q77
Q1146,Volatile organic compounds,Q77
Q1147,Vulnerability,Q77; Q106; Q150
Q1148,Vulnerability index,Q106
Q1149,Walker circulation,Q77
Q1150,Water-borne diseases,Q106
Q1151,Water cycle,Q77
Q1152,Water mass,Q77
Q1153,Water security,Q77; Q106
Q1154,Water-use efficiency,Q106
Q1155,Wave setup,Q77
Q1156,Weathering,Q77; Q106
Q1157,Well-being,Q106; Q150
Q1158,Well-mixed greenhouse gas,Q77
Q1159,West African monsoon,Q77
Q1160,Wetland,Q77; Q106
Q1161,Wind energy,Q150
Q1162,Younger Dryas,Q77
Q1163,Zero emissions commitment,Q77; Q150
Q1164,Displacement,Q106
Q1165,Impact assessment,
Q1166,pH,Q77; Q106
Q1167,1.5°C pathway,Q77; Q150
Q1168,1.5°C warmer worlds,Q10
Q1169,13C,Q77
Q1170,14C,Q77
Q1171,2030 Agenda for Sustainable Development,Q106
Q1172,Ablation,Q77
Q1173,Abrupt change,Q77; Q106
Q1174,Abrupt climate change,Q77; Q106
Q1175,Acceptability of policy or system change,Q150
