"Report","Acronym","Description"
"SR1.5; WGI; WGII","MPI","Max-Planck-Institut für Meteorologie (Max Planck Institute for Meteorology); Max Planck Institute for Meteorology; Multidimensional Poverty Index"
"SR1.5; SROCC; WGI","MPWP","Mid Pliocene Warm Period; mid-Pliocene Warm Period"
"SR1.5","MRFCJ","Mary Robinson Foundation – Climate Justice"
"SR1.5; WGI","MRI","Meteorological Research Institute of Japan Meteorological Agency; Meteorological Research Institute, Japan Meteorological Agency"
"SR1.5; SRCCL; SROCC; WGII; WGIII","MRV","Measurement, Reporting and Verification; Monitoring, Reporting and Verification; measuring, reporting and verifying or measuring, reporting and verification"
"SR1.5","MSR","Multi-Sector Risk score"
"SR1.5; SRCCL; WGIII","Mt","Megatonnes; megatonne"
"SR1.5; SRCCL","N","Nitrogen"
"SR1.5; SRCCL; SYR; WGI; WGIII","N2O","Nitrous oxide; Nitrous Oxide; nitrous oxide"
"SR1.5; SRCCL; SROCC; WGII; WGIII","NAP","National Adaptation Plan; National Adaption Plan; national adaptation plan"
"SR1.5; WGII","NAS","North Asia; National Adaptation Strategy"
"SR1.5; WGI","NASA","National Aeronautics and Space Administration; USA National Aeronautics and Space Administration"
"SR1.5","NASEM","National Academies of Sciences, Engineering, and Medicine"
"SR1.5; WGI","NAU","North Australia; Northern Australia"
"SR1.5; WGI","NCAR","National Center for Atmospheric Research"
"SR1.5; WGII","NCCARF","National Climate Change Adaptation Research Facility"
"SR1.5; SRCCL","NCE","New Climate Economy"
"SR1.5","NDCs","Nationally Determined Contributions"
"SR1.5","NEA","Nuclear Energy Agency"
"SR1.5","NEB","North-East Brazil"
"SR1.5","NEC","National Environment Commission (Royal Government of Bhutan)"
"SR1.5","NETL","National Energy Technology Laboratory (US Department of Energy)"
"SR1.5; WGI; WGII","NEU","North Europe; Northern Europe"
"SR1.5; SYR; WGIII","NF3","Nitrogen trifluoride; nitrogen trifluoride"
"SR1.5; SRCCL; SROCC; WGII; WGIII","NGO","Non-Governmental Organization; Non-Governmental Organisation; non-governmental organisation"
"SR1.5; SRCCL; WGI","NH3","Ammonia; ammonia"
"SR1.5","NHD","Number of Hot Days"
"SR1.5","NITI Aayog","National Institution for Transforming India"
"SR1.5; WGI; WGIII","NMVOC","Non-Methane Volatile Organic Compounds; non-methane volatile organic compound; non-methane volatile organic compounds"
"SR1.5; SRCCL; SROCC; WGI; WGIII","NOAA","National Oceanic and Atmospheric Administration; US National Oceanic and Atmospheric Administration; USA National Oceanic and Atmospheric Administration"
"SR1.5; WGI","NorESM","Norwegian Earth System Model"
"SR1.5; WGI","NOx","Nitrogen oxides; nitrogen oxides"
"SR1.5","NPCC","New York City Panel on Climate Change"
"SR1.5; SRCCL; SROCC; WGI; WGII","NPP","Net Primary Productivity; Net Primary Production/Net Primary Productivity; Net Primary Production; net primary production; Net Primary Production / Nuclear Power Plants"
"SR1.5; SRCCL; SROCC","NPV","Net Present Value"
"SR1.5; SRCCL","NRC","National Research Council"
"SR1.5; WGII","NSR","Northern Sea Route"
"SR1.5","NTP","Pacific Islands region [2]"
"SR1.5","NYC","New York City"
"SR1.5","NZAGRC","New Zealand Agricultural Greenhouse Gas Research Center"
"SR1.5; SRCCL","O2","Oxygen"
"SR1.5; SRCCL; SYR","O3","Ozone"
"SR1.5; SROCC; WGI; WGII; WGIII","OA","Ocean Acidification or Ocean Alkalinization; Ocean Acidification; organic aerosols; ocean alkalinity"
"SR1.5; SRCCL; WGI","OC","Organic Carbon; organic carbon"
"SR1.5; SRCCL; WGI; WGII; WGIII","OECD","Organisation for Economic Co-operation and Development; Organisation for Economic Co-Operation and Development"
"SR1.5","OGCC","Optimal Gasification Combined Cycle"
"SR1.5","OHCHR","Office of the United Nations High Commissioner for Human Rights"
"SR1.5","OIF","Ocean Iron Fertilisation"
"SR1.5; SRCCL","ORCHIDEE","ORganising Carbon and Hydrology In Dynamic EcosystEms model; Organising Carbon and Hydrology In Dynamic Ecosystems"
"SR1.5","ORR","NYC Mayor's Office of Recovery & Resiliency"
"SR1.5; WGIII","OS","Overshoot; overshoot"
"SR1.5; WGI","pp","People; primary production"
"SR1.5; SYR; WGII","ppb","Parts per billion; parts per billion; Participatory Plant Breeding"
"SR1.5; SYR","ppm","Parts per million; parts per million"
"SR1.5","ppt","Parts per thousand"
"SR1.5; SRCCL","P","Precipitation or Phosphorous; Precipitation or Phosphorus"
"SR1.5","PAGE","Policy Analysis of the Greenhouse Effect model"
"SR1.5","PAHO","Pan American Health Organization"
"SR1.5","PCM","Parallel Climate Model"
"SR1.5; WGI; WGII","PDSI","Palmer Drought Severity Index"
"SR1.5; WGII","PE","Primary Energy or Partial Equilibrium; Asked for Expansion"
"SR1.5; SRCCL; WGII","PET","Physiologically Equivalent Temperature or Potential Evapo-Transpiration; Potential Evapotranspiration"
"SR1.5; SYR; WGIII","PFCs","Perfluorocarbons; perfluorocarbons"
"SR1.5","Pg","Petagrams"
"SR1.5; WGIII","PHEV","Plug-in Hybrid Electric Vehicle; plug-in hybrid electric vehicle"
"SR1.5","PIK","Potsdam-Institut für Klimafolgenforschung (Potsdam Institute for Climate Impact Research)"
"SR1.5; WGI","PM10","Particulate Matter with Aerodynamic Diameter <10 μm; particulate matter with diameter of less than 10 microns"
"SR1.5; SRCCL; WGI","PM2.5","Particulate Matter with Aerodynamic Diameter <2.5 μm; Particulate matter with size less than 2.5 µm; particulate matter with diameter of less than 2.5 microns"
"SR1.5","POLES","Prospective Outlook on Long-term Energy Systems model"
"SR1.5; SYR; WGII; WGIII","PPP","Purchasing Power Parity; Public–Private Partnerships / Purchasing Power Parity; public-private partnership / purchasing power parity"
"SR1.5","PR","Probability Ratio"
"SR1.5; SYR; WGIII","PV","Photovoltaics; Photovoltaic; photovoltaic"
"SR1.5; SYR; WGIII","R&D","Research and Development; research and development"
"SR1.5","RCA","Rossby Centre Regional Atmospheric Model"
"SR1.5","RCI","Rotterdam Climate Initiative"
"SR1.5; SRCCL; SROCC; WGI; WGII; WGIII","RCM","Regional Climate Model; Regional Climate Models; regional climate model; reduced complexity model"
"SR1.5; SYR","RCPs","Representative Concentration Pathways; Representative Concentration Pathways (e.g. RCP2.6, pathway for which radiative forcing by 2100 is limited to 2.6 Wm-2)"
"SR1.5; SRCCL; WGIII","REDD+","Reducing Emissions from Deforestation and forest Degradation; and the role of conservation, sustainable management of forests and enhancement of forest carbon stocks in developing countries; Reducing Emissions from Deforestation and Degradation and the role of conservation, sustainable management of forests and enhancement of forest carbon stocks in developing countries; reducing emissions from deforestation and forest degradation and the role of conservation, sustainable management of forests and enhancement of forest carbon stocks"
"SR1.5","ReEDS-IPM","Regional Electricity Deployment System model – Integrated Planning Model"
"SR1.5; SRCCL","RegCM","Regional Climate Model system; Regional Climate Model"
"SR1.5; SRCCL","REMIND","REgional Model of INvestments and Development"
"SR1.5; SRCCL","REN21","Renewable Energy Policy Network for the 21st Century"
"SR1.5; SRCCL; WGI","RF","Radiative Forcing; radiative forcing"
"SR1.5; SROCC; WGI; WGII","RFC","Reason for Concern; Reasons for Concern"
"SR1.5","RGoB","Royal Government of Bhutan"
"SR1.5","RMI","Rocky Mountain Institute"
"SR1.5","RNCFC","Reference Non-CO2 Forcing Contribution"
"SR1.5","RNCTC","Reference Non-CO2 Temperature Contribution"
"SR1.5; SRCCL","Rx1day","Annual maximum 1-day precipitation; Annual Maximum 1-day Precipitation"
"SR1.5","Rx5day","Annual maximum 5-day precipitation"
"SR1.5; WGIII","SAF","Southern Africa; sustainable aviation fuel"
"SR1.5; SRCCL; WGI","SAH","Sahara"
"SR1.5; WGI; WGII; WGIII","SAI","Stratospheric Aerosol Injection; stratospheric aerosol injection; Stratospheric Aerosol Intervention; stratospheric aerosol interventions"
"SR1.5","SAMS","South American Monsoon System"
"SR1.5; WGI; WGII; WGIII","SAR","IPCC Second Assessment Report; Second Assessment Report"
"SR1.5; SRCCL; WGI; WGII","SAS","South Asia"
"SR1.5; SRCCL; WGI","SAT","Surface Air Temperature; surface air temperature"
"SR1.5; WGI","SAU","South Australia/New Zealand; Southern Australia"
"SR1.5; WGIII","SBSTA","Subsidiary Body for Scientific and Technological Advice (UNFCCC); Subsidiary Body for Scientific and Technological Advice"
"SR1.5; SRCCL; WGII; WGIII","SCC","Social Cost of Carbon; social cost of carbon"
"SR1.5; WGIII","SCS","Soil Carbon Sequestration; soil carbon sequestration"
"SR1.5; SRCCL; SROCC; WGII","SD","Sustainable Development; Standard Deviation or Sustainable Development"
"SR1.5; SROCC","SDGs","Sustainable Development Goals"
"SR1.5","SDGVM","Sheffield Dynamic Global Vegetation Model"
"SR1.5","SDII","Simple Daily Intensity Index"
"SR1.5; WGIII","SDSN","Sustainable Development Solutions Network"
"SR1.5; WGI; WGIII","SEA","Southeast Asia; South East Asia; strategic environmental assessment"
"SR1.5","SEAPs","Sustainable Energy Action Plans"
"SR1.5; WGI","SED","Structured Expert Dialogue"
"SR1.5; WGIII","SEM","Semi-Empirical Model; structural equations modelling"
"SR1.5; SYR; WGI; WGIII","SF6","Sulphur hexafluoride; Sulphur Hexafluoride; sulphur hexaflouride; sulphur hexafluoride"
"SR1.5; SRCCL","SFM","Sustainable Forest Management"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","SIDS","Small Island Developing States"
"SR1.5","SIFMA","Securities Industry and Financial Markets Association"
"SR1.5","SLCFs","Short-Lived Climate Forcers"
"SR1.5","SLCPs","Short-Lived Climate Pollutants"
"SR1.5; SROCC; WGI; WGII; WGIII","SLR","Sea Level Rise; sea level rise"
"SR1.5; SRCCL; WGII; WGIII","SM","Supplementary Material; Supplementary Materials; smart manufacturing"
"SR1.5","SMA","Soil Moisture Anomalies"
"SR1.5","SMHI","Swedish Meteorological and Hydrological Institute"
"SR1.5; SRCCL; WGI; WGIII","SO2","Sulphur dioxide; Sulfur dioxide; sulphur dioxide"
"SR1.5","SOLARIS HEPPA","SOLARIS High Energy Particle Precipitation in the Atmosphere"
"SR1.5; SRCCL; WGI","SON","September, October, November; September-October-November; September–October–November"
"SR1.5; WGI","SOx","Sulphur oxides; sulphur oxides"
"SR1.5","SPAs","Shared climate Policy Assumptions"
"SR1.5","SPC","Secretariat of the Pacific Community"
"SR1.5; WGI; WGII","SPEI","Standardized Precipitation Evapotranspiration Index; Standardised Precipitation Evapotranspiration Index"
"SR1.5; WGI; WGII","SPI","Standardised Precipitation Index; Standardized Precipitation Index"
"SR1.5; SROCC; SYR; WGI; WGII; WGIII","SPM","Summary for Policymakers; Summary For Policymakers"
"SR1.5; SYR; WGI; WGII; WGIII","SR1.5","IPCC Special Report on Global Warming of 1.5°C; Special Report on Global Warming of 1.5°C; IPCC Special Report on Global Warming of 1.5ºC"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","SRCCL","IPCC Special Report on Climate Change and Land; Special Report on Climate Change and Land"
"SR1.5; SRCCL; SROCC; WGI; WGII","SRES","IPCC Special Report on Emissions Scenarios; IPCC Special Report on Emission Scenarios; Special Report on Emissions Scenarios"
"SR1.5; SRCCL; SROCC; WGI","SREX","IPCC Special Report on Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation; IPCC Special Report on Managing the Risk of Extreme Events and Disasters to Advance Climate Change Adaptation"
"SR1.5; SROCC; SYR; WGI; WGII; WGIII","SRM","Solar Radiation Modification; solar radiation modification"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","SROCC","IPCC Special Report on the Ocean and Cryosphere in a Changing Climate; IPCC Special Report on the Ocean Cryosphere and Climate Change; Special Report on the Ocean and Cryosphere in a Changing Climate"
"SR1.5; WGI; WGII","SSA","Southeastern South America; Southern South America; South and Sub-Saharan Africa"
"SR1.5; SROCC","SSPs","Shared Socioeconomic Pathways"
"SR1.5; SRCCL; SROCC; WGI; WGII","SST","Sea Surface Temperature; sea surface temperature"
"SR1.5","STP","Southern Tropical Pacific"
"SR1.5; SRCCL","SWAT","Soil & Water Assessment Tool; Soil and Water Assessment Tool"
"SR1.5","SWF","Social Welfare Function"
"SR1.5; SRCCL; SYR","SYR","IPCC Synthesis Report; Synthesis Report"
"SR1.5; SRCCL","t","Tonnes; Temperature or Transient"
"SR1.5","tDM","Tonnes Dry Matter"
"SR1.5","tril$","Trillion dollars"
"SR1.5","T&D","Transmission and Distribution"
"SR1.5; SRCCL; WGI","TCR","Transient Climate Response; transient climate response"
"SR1.5; WGI; WGIII","TCRE","Transient Climate Response to cumulative CO2 Emissions; transient climate response to cumulative CO2 emissions; transient climate response to cumulative emissions of carbon dioxide"
"SR1.5","TEAP","Technology and Economic Assessment Panel"
"SR1.5","TFE","Thematic Focus Element"
"SR1.5; WGII","TFP","Total Factor Productivity"
"SR1.5; SRCCL; WGI","Tg","Teragrams; teragrams"
"SR1.5; WGI; WGII","TIB","Tibetan Plateau"
"SR1.5; WGI","TNn","Coldest night-time temperature of the year; annual minimum daily minimum temperature"
"SR1.5; WGIII","TOD","Transit Oriented Development; transit-oriented development"
"SR1.5; SRCCL; SYR; WGI","TS","Technical Summary"
"SR1.5","Tt","Teratonnes"
"SR1.5","TTs","Transition Towns"
"SR1.5","TXx","Hottest daytime temperature of the year"
"SR1.5","UCCRN","Urban Climate Change Research Network"
"SR1.5; SRCCL; WGI; WGII; WGIII","UHI","Urban Heat Islands; Urban Heat Island; urban heat island"
"SR1.5","UITP","Union Internationale des Transports Publics (International Association of Public Transport)"
"SR1.5","UKCP","United Kingdom Climate Projections"
"SR1.5; WGI; WGII","UN","United Nations"
"SR1.5","UN DESA","United Nations Department of Economic and Social Affairs"
"SR1.5; SRCCL","UNCBD","United Nations Convention on Biological Diversity; United Nations Convention on Biodiversity"
"SR1.5; SRCCL; WGII; WGIII","UNDP","United Nations Development Programme"
"SR1.5; SRCCL; SROCC; WGI; WGII; WGIII","UNEP","UN Environment; United Nations Environment Programme"
"SR1.5","UNEP-WCMC","UNEP World Conservation Monitoring Centre"
"SR1.5; WGII","UNESCO","United Nations Educational, Scientific and Cultural Organization"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","UNFCCC","United Nations Framework Convention on Climate Change; United Framework Convention on Climate Change"
"SR1.5","UNGA","United Nations General Assembly"
"SR1.5; SRCCL; WGII","UNICEF","United Nations International Children's Emergency Fund; United Nations Children's Fund"
"SR1.5; SRCCL","UNISDR","United Nations Office for Disaster Risk Reduction; UN Sendai Framework for Disaster Risk Reduction"
"SR1.5","UN-OHRLLS","Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States"
"SR1.5","UNRISD","United Nations Research Institute for Social Development"
"SR1.5","UNSCEAR","United Nations Scientific Committee on the Effects of Atomic Radiation"
"SR1.5","UNU","United Nations University"
"SR1.5","UNU-EHS","United Nations University – Institute for Environment and Human Security"
"SR1.5; SRCCL; SYR; WGII; WGIII","USD","United States Dollars; United States Dollar; US dollar"
"SR1.5; SRCCL; WGI; WGIII","UV","Ultraviolet; ultraviolet"
"SR1.5","VISIT","Vegetation Integrative Simulator for Trace Gases"
"SR1.5; WGIII","VKT","Vehicle Kilometres of Travel; vehicle kilometres travelled"
"SR1.5","VOCs","Volatile Organic Compounds"
"SR1.5; SRCCL","w/","With"
"SR1.5; SRCCL","w/o","Without"
"SR1.5","w.r.t.","With respect to"
"SR1.5; SRCCL; WGII","W","Watts; Western"
"SR1.5; SRCCL; WGI","WAF","West Africa; Western Africa"
"SR1.5; SROCC; WGI; WGII","WAIS","West Antarctic Ice Sheet"
"SR1.5","WAS","West Asia"
"SR1.5; SRCCL; WGIII","WBCSD","World Business Council for Sustainable Development; World Business Council on Sustainable Development"
"SR1.5","WBGU","Wissenschaftlicher Beirat der Bundesregierung Globale Umweltveränderungen (German Advisory Council on Global Change)"
"SR1.5","WBM","Water Balance Model"
"SR1.5","WCED","World Commission on Environment and Development"
"SR1.5; WGI; WGII","WCRP","World Climate Research Programme"
"SR1.5; SRCCL","WEC","World Energy Council"
"SR1.5; SRCCL; WGII","WEF","Water-Energy-Food or World Economic Forum; World Economic Forum; Water–Energy–Food / World Economic Forum"
"SR1.5","WEM","World Energy Model"
"SR1.5; SRCCL; WGIII","WEO","World Energy Outlook"
"SR1.5; SRCCL; WGIII","WFP","World Food Programme"
"SR1.5; SRCCL; SROCC; SYR; WGII","WGI","IPCC Working Group I; Working Group I"
"SR1.5; SRCCL; SROCC; SYR; WGII","WGII","IPCC Working Group II; Working Group II"
"SR1.5; SRCCL; SYR; WGII","WGIII","IPCC Working Group III; Working Group III"
"SR1.5; SRCCL; SYR; WGI; WGII; WGIII","WHO","World Health Organization; World Health Organisation"
"SR1.5; SYR; WGII","WIM","Warsaw International Mechanism for Loss and Damage; Warsaw International Mechanism on Loss and Damage under UNFCCC; Warsaw International Mechanism"
"SR1.5","WIO","West Indian Ocean"
"SR1.5","WITCH","World Induced Technical Change Hybrid Model"
"SR1.5","WMGHGs","Well-Mixed Greenhouse Gases"
"SR1.5; SRCCL; WGI; WGII; WGIII","WMO","World Meteorological Organization; World Meteorological Organisation"
"SR1.5; WGI","WNA","West North America; Western North America"
"SR1.5","WRF","Weather Research and Forecasting"
"SR1.5","WSA","West Coast South America"
"SR1.5","WSDI","Warm Spell Duration Index"
"SR1.5; SRCCL; WGIII","WTO","World Trade Organization; World Trade Organisation"
"SR1.5; SRCCL","yr","Year"
"SR1.5; WGI","ZEC","Zero Emissions Commitment; zero emissions commitment"
"SRCCL","3-NOP","3-Nitrooxypropanol"
"SRCCL","A/F","Afforestation/Reforestation"
"SRCCL","ABC","Low Carbon Agriculture Plan"
"SRCCL","ABM","Agent-Based Model"
"SRCCL; WGI","AerChemMIP","Aerosol Chemistry Model Intercomparison Project; Aerosols and Chemistry Model Intercomparison Project"
"SRCCL; WGII","AgMIP","Agricultural Model Intercomparison and Improvement Project"
"SRCCL","AGRA","Alliance for a Green Revolution in Africa"
"SRCCL; SROCC; WGI; WGII","AMO","Atlantic Multi-decadal Oscillation; Atlantic Multidecadal Oscillation"
"SRCCL","ARM","Adaptive Risk Management"
"SRCCL; SROCC","ASF","Animal Sourced Foods; Animal Sourced Food"
"SRCCL; WGI","AVHRR","Advanced High Resolution Radiometer; Advanced Very High Resolution Radiometer"
"SRCCL","AWD","Alternate Wetting and Drying"
"SRCCL","BAPEN","British Association for Parenteral and Enteral Nutrition"
"SRCCL; WGII; WGIII","BAU","Business as Usual; Business-as-Usual; business as usual"
"SRCCL; WGII","BCR","Benefit Cost Ratio; Benefit-to-Cost Ratio"
"SRCCL; WGI; WGII","BE","Bioenergy; Berkeley Earth; Belgium"
"SRCCL","BEFM","Bio-Economic Farm Model"
"SRCCL","BEST","Berkeley Earth Surface Temperature"
"SRCCL","BPE","Biomass Production Efficiency"
"SRCCL; WGI","BrC","Brown Carbon; brown carbon"
"SRCCL","BTV","Blue-Tongue Virus"
"SRCCL; WGIII","BUR","Biannual Update Report; biennial update report"
"SRCCL; WGI; WGII","BVOC","Biogenic Volatile Organic Compounds; biogenic volatile organic compound"
"SRCCL","CABI","Centre for Agriculture and Bioscience International"
"SRCCL","CACILM","Central Asian Countries Initiative for Land Management"
"SRCCL","CAFO","Concentrated Animal Feeding Operations"
"SRCCL","CAMPA","Compensatory Afforestation Management and Planning Authority"
"SRCCL","CATDDO","Catastrophe Risk Deferred Drawdown Option"
"SRCCL; WGII","CCA","Climate Change Adaptation; Climate-Change Adaptation"
"SRCCL; WGII","CCAFS","CGIAR Research Program on Climate Change, Agriculture and Food Security; Climate Change, Agriculture and Food Security"
"SRCCL; WGI","CCN","Cloud Condensation Nuclei; cloud condensation nuclei"
"SRCCL","ÇEMGM","Conservation Reserve Program"
"SRCCL","CEN-SAD","The Community of Sahel-Saharan States"
"SRCCL","CFS","Committee on World Food Security"
"SRCCL","CGIAR-","Consultative Group on International Agricultural Research"
"SRCCL; WGII","CGRA","Coordinated Global and Regional Assessment; Coordinated Global and Regional Assessments"
"SRCCL","CHIRPS","Climate Hazards Group Infrared Precipitation with Station"
"SRCCL","CHMI","Czech Hydrometeorological Institute"
"SRCCL","CIAT","International Centre for Tropical Agriculture"
"SRCCL","CIPHET","Central Institute of Post-Harvest Engineering and Technology"
"SRCCL","CIREN","Centro de Información de Recursos Naturales"
"SRCCL","CMIE","Centre of Monitoring the Indian Economy"
"SRCCL","CRP","Conservation Reserve Program"
"SRCCL; WGI","CRUTEM","Dataset of the Climatic Research Unit of the University of East Anglia; Climatic Research Unit gridded global historical near-surface air temperature dataset"
"SRCCL","CRV","Climate Resilient Villages"
"SRCCL","CSO","Civil Society Organisation"
"SRCCL","CSV","Climate Smart Village"
"SRCCL","DERM","Department of Environment and Resource Management, India"
"SRCCL","DESIRE","Desertification Mitigation and Remediation of Land"
"SRCCL; WGI; WGIII","DGVM","Dynamic Global Vegetation Model; dynamic global vegetation model"
"SRCCL","DMP","Dust Mass Path"
"SRCCL","DOD","Dust Optical Depth"
"SRCCL; WGII","DRR","Disaster Risk Reduction"
"SRCCL","ECA","European Court of Auditors"
"SRCCL; WGIII","EF","Emission Factor; emission factor"
"SRCCL","EFSA","European Food Safety Authority"
"SRCCL","EFT","Ecological Fiscal Transfer"
"SRCCL","ELD","Economics of Land Degradation or Economics of Land Degradation Initiative"
"SRCCL","EM-DAT","International Disaster Database"
"SRCCL; SYR; WGII","ES","Ecosystem Service; Executive Summary; Expected Shortfall / Spain"
"SRCCL; WGIII","EU-RED","European Union Renewable Energy Directive; EU Renewable Energy Directive"
"SRCCL","EVI","Enhanced Vegetation Index"
"SRCCL","EW/EA","Early Warning and Early Action"
"SRCCL; SROCC; SYR; WGII","EWS","Early Warning Systems; Early Warning System"
"SRCCL; WGII","FACE","Free-Air Carbon dioxide Enrichment; Free-Air Carbon Dioxide Enrichment"
"SRCCL","FAO-FRA","FAO Global Forest Resources Assessment"
"SRCCL","FIES","Food Insecurity Experience Scale"
"SRCCL","fNRB","fraction of Non-Renewable Biomass"
"SRCCL","FRA","Forest Rights Act (India)"
"SRCCL; WGII; WGIII","FSC","Forest Stewardship Council; Forest Sustainability Council"
"SRCCL; WGII","FWL","Food Waste and Loss; Freshwater Lens"
"SRCCL; WGIII","GATT","General Agreement on Tariffs and Trade"
"SRCCL","GBEP","Global Bioenergy Partnership"
"SRCCL; WGII; WGIII","GCF","Green Climate Fund"
"SRCCL","GDEWS","Global Drought Early Warning System"
"SRCCL; WGII; WGIII","GEF","Global Environmental Facility; Global Environment Facility"
"SRCCL; WGI","GFCS","Global Framework for Climate Services"
"SRCCL; WGIII","GFED","Global Fire Emissions Database"
"SRCCL","GFGP","Conversion of Cropland to Forests and Grasslands Program (Grain for Green Programme)"
"SRCCL","GGCM","Global Gridded Crop Models"
"SRCCL; WGI","GHCN","Global Historical Climatology Network; NOAA Global Historical Climatology Network"
"SRCCL; SROCC; SYR; WGI; WGII; WGIII","GHG","Greenhouse Gas; greenhouse gas"
"SRCCL","GHGE","Greenhouse Gas Emissions"
"SRCCL","GHGI","Greenhouse Gas Inventory"
"SRCCL","GIAHS","Globally Important Agricultural Heritage Site"
"SRCCL","GIEWS","FAO Global Information and Early Warning System"
"SRCCL","GIMMS3g","Global Inventory Modelling and Mapping Studies"
"SRCCL; WGIII","GIZ","German Society for International Cooperation; the German Development Agency (Deutsche Gesellschaft für Internationale Zusammenarbeit)"
"SRCCL","GLASOD","Global Assessment of Human-Induced Soil Degradation"
"SRCCL","GLASS","Global Land Atmosphere System Study"
"SRCCL; SROCC; WGII","GLOF","Glacial Lake Outburst Floods; Glacial Lake Outburst Flood"
"SRCCL","GLOMAP","Global Model of Aerosol Processes"
"SRCCL","GNR","Global Nutrition Report"
"SRCCL; WGII","HadCM3","Hadley Centre Coupled Model, version 3; Hadley Center Coupled Model"
"SRCCL","HANPP","Human Appropriation of Net Primary Production"
"SRCCL; WGII; WGIII","HDI","Human Development Index"
"SRCCL","HEI","Healthcare Environment Inspectorate"
"SRCCL","HHP","High Hydrostatic Pressure"
"SRCCL; WGI; WGII","HKH","Hindu-Kush Himalayan; Hindu Kush Himalaya"
"SRCCL; WGIII","HYDE","History Database of the Global Environment; History database of the Global Environment"
"SRCCL; WGI; WGII; WGIII","IAM","Integrated Assessment Model; integrated assessment model"
"SRCCL","ICARDA","International Center for Agriculture Research in the Dry Areas"
"SRCCL","ICCC","International Conference on Climate Change"
"SRCCL","ICOS","Integrated Carbon Observation System"
"SRCCL","ICPAC","IGAD Climate Prediction and Applications Centre"
"SRCCL","ICTP","International Centre for Theoretical Physics"
"SRCCL","IGAD","Intergovernmental Authority on Development"
"SRCCL; WGII","IHME","Institute for Health Metrics and Evaluation"
"SRCCL; SROCC; WGII","IK","Indigenous Knowledge"
"SRCCL","ILK","Indigenous and Local Knowledge"
"SRCCL; WGII; WGIII","INDC","Intended Nationally Determined Contribution; Intended Nationally Determined Contributions"
"SRCCL","INPE","Instituto Nacional de Pesquisas Espaciais (National Institute for Space Research)"
"SRCCL; SROCC; WGI; WGII","IOD","Indian Ocean Dipole"
"SRCCL; SROCC; WGI; WGII; WGIII","IPBES","Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services; Intergovernmental Platform on Biodiversity and Ecosystem Services assessments; Intergovernmental Science Policy Platform on Biodiversity and Ecosystem Services"
"SRCCL; SROCC; WGI; WGII","IPO","Inter-decadal Pacific Oscillation; Interdecadal Pacific Oscillation; Inter-Decadal Pacific Oscillation"
"SRCCL; WGII","IQR","Interquartile Range"
"SRCCL","IRD","Integrated Rural Development"
"SRCCL","ISEAL","ISEAL Alliance (International Social and Environmental Accreditation and Labelling Alliance)"
"SRCCL","ITPS","Intergovernmental Technical Panel on Soils"
"SRCCL","ITRDB","International Tree Ring Data Bank"
"SRCCL","IWAI","Inland Waterways Authority of India"
"SRCCL","IWM","Integrated Watershed Management"
"SRCCL","K","Potassium"
"SRCCL","LADA","Land Degradation Assessment in Drylands"
"SRCCL; WGI; WGII","LAI","Leaf Area Index; leaf area index"
"SRCCL","LAPA","Local Adaptation Plan of Action"
"SRCCL; WGIII","LCA","Lifecycle Analysis/Life-Cycle Assessment; life cycle assessment or life cycle analysis"
"SRCCL; WGIII","LCC","Land-Cover Conversions; lifecycle costs"
"SRCCL","LCCS","Land Cover Classification System"
"SRCCL; SROCC; SYR; WGII","LDC","Least Developed Countries"
"SRCCL; WGII; WGIII","LDN","Land Degradation Neutrality"
"SRCCL","LGP","Length of Growing Period"
"SRCCL","LiDAR","Light Detection and Ranging"
"SRCCL","LIMCOM","Limpopo Watercourse Commission"
"SRCCL; SROCC; SYR; WGII","LK","Local Knowledge"
"SRCCL","LM","Land Management"
"SRCCL","LMIC","Low- and Middle-Income Country"
"SRCCL; WGI","LSAT","Land Surface Air Temperature; land surface air temperature"
"SRCCL; WGII","LSLA","Large-Scale Land Acquisition"
"SRCCL","LTKA","Local and Traditional Knowledge in Agriculture"
"SRCCL","LUH2","Harmonised Land Use Change Data"
"SRCCL","LULCC","Land Use Land Cover Change"
"SRCCL; WGIII","MACC","Marginal Abatement Cost Curve; marginal abatement cost curve"
"SRCCL; WGII","MAR","Managed Aquifer Recharge"
"SRCCL","MCF","Methyl Chloroform"
"SRCCL; WGI","MCS","Mesoscale Convective Systems; mesoscale convective system"
"SRCCL","MERIS","Medium Resolution Imaging Spectrometer"
"SRCCL","MFS","Microfinance Services"
"SRCCL","MIRWH","Mechanized Micro Rainwater Harvesting"
"SRCCL","MND","Micro Nutrient Deficiency"
"SRCCL; WGI; WGII","MODIS","Moderate Resolution Imaging Spectroradiometer"
"SRCCL","MOFPI","Ministry of Food Processing Industries"
"SRCCL","MSA","Mean Species Abundance"
"SRCCL","MTOE","Million Tonnes of Oil Equivalent"
